asset_ref,no_damage,slight,moderate,extreme,complete
a1204,2.268122687E+02,2.395723735E+00,1.381691987E+00,3.190701008E-01,9.124552285E-02
a1205,2.266066181E+02,2.416773755E+00,1.460151626E+00,3.758936709E-01,1.405628715E-01
a1206,2.278248913E+02,2.387879665E+00,1.377288495E+00,3.183368604E-01,9.160369137E-02
a1207,2.287392554E+02,2.440517457E+00,1.405835443E+00,3.233704247E-01,9.102125004E-02
a1208,2.287517300E+02,2.431083475E+00,1.402959042E+00,3.235272263E-01,9.070025030E-02
a1209,2.283563818E+02,2.608708573E+00,1.536763888E+00,3.738031733E-01,1.243425849E-01
a121,2.882828145E+00,6.729420378E-02,3.879712442E-02,8.767726566E-03,2.312800384E-03
a1210,2.289383236E+02,2.899850780E+00,1.671241573E+00,3.836108968E-01,1.069731049E-01
a1211,2.272288218E+02,3.907819187E+00,2.233875140E+00,4.996237134E-01,1.298601274E-01
a1212,2.307286990E+02,1.866194171E+00,1.078673451E+00,2.516861501E-01,7.474717825E-02
a1213,2.323752768E+02,1.502780037E+00,8.656448382E-01,1.999687218E-01,5.632955448E-02
a1214,2.294411023E+02,3.771886334E+00,2.165738503E+00,4.900287754E-01,1.312441022E-01
a1215,2.309236963E+02,2.860214340E+00,1.679618472E+00,4.049793905E-01,1.314915351E-01
a1216,2.331670089E+02,1.599710529E+00,9.358575426E-01,2.251157221E-01,7.230730268E-02
a1217,2.324664442E+02,2.019765852E+00,1.167274891E+00,2.704265994E-01,7.608843541E-02
a1218,2.305265896E+02,3.093244704E+00,1.811127194E+00,4.325954797E-01,1.364430041E-01
a1219,2.318859366E+02,2.359554874E+00,1.356236490E+00,3.109090645E-01,8.736301218E-02
a122,2.940825247E+00,3.429989095E-02,1.948376010E-02,4.316209509E-03,1.074892033E-03
a1220,2.306304808E+02,3.635380036E+00,2.108792801E+00,4.882930688E-01,1.370532621E-01
a1221,2.318136112E+02,2.917102494E+00,1.717312419E+00,4.160449356E-01,1.359289508E-01
a1222,2.319924270E+02,2.829986163E+00,1.657638075E+00,3.962648135E-01,1.236839902E-01
a1223,2.299829214E+02,4.036684316E+00,2.316342087E+00,5.232661881E-01,1.407860046E-01
a1224,2.296054216E+02,4.255889139E+00,2.444288920E+00,5.506992399E-01,1.437010862E-01
a1225,2.335892772E+02,2.530337219E+00,1.455983286E+00,3.331901355E-01,9.121217658E-02
a1226,2.343888544E+02,2.065318285E+00,1.190531236E+00,2.755222281E-01,7.977385903E-02
a1227,2.331115422E+02,3.376313833E+00,1.943704383E+00,4.444433690E-01,1.239962590E-01
a1228,2.315957627E+02,4.268557211E+00,2.444667131E+00,5.480391908E-01,1.429737438E-01
a1229,2.347540997E+02,2.424464320E+00,1.400774375E+00,3.253779316E-01,9.528368947E-02
a123,2.943207165E+00,3.258447830E-02,1.873282200E-02,4.286753541E-03,1.188780738E-03
a1230,2.350844490E+02,2.238684082E+00,1.291675923E+00,2.990541242E-01,8.613690201E-02
a1231,2.348512464E+02,2.377048522E+00,1.367796262E+00,3.145257256E-01,8.938310599E-02
a1232,2.340704786E+02,3.415814006E+00,1.955866004E+00,4.408107049E-01,1.170307237E-01
a1233,2.313438973E+02,5.021488154E+00,2.856931231E+00,6.263728362E-01,1.513104637E-01
a1234,2.349272362E+02,2.819658503E+00,1.685977359E+00,4.218128232E-01,1.453151395E-01
a1235,2.337668472E+02,4.768760121E+00,2.717310297E+00,5.993262142E-01,1.477562122E-01
a1236,2.387644541E+02,1.846694812E+00,1.065888540E+00,2.484139879E-01,7.454860155E-02
a1237,2.374201900E+02,2.604168226E+00,1.513393578E+00,3.556887348E-01,1.065594473E-01
a1238,2.360177309E+02,3.443046844E+00,1.973244300E+00,4.460282851E-01,1.199496725E-01
a1239,2.378612598E+02,2.373008429E+00,1.364628865E+00,3.131648579E-01,8.793804481E-02
a124,3.924188400E+00,4.424665078E-02,2.491772232E-02,5.399440077E-03,1.247786517E-03
a1240,2.394218831E+02,1.464807080E+00,8.495580115E-01,2.009724420E-01,6.277933073E-02
a1241,2.404501586E+02,2.025374114E+00,1.170315464E+00,2.729148227E-01,8.123695172E-02
a1242,2.393288072E+02,2.674260713E+00,1.542235706E+00,3.550839507E-01,9.961238441E-02
a1243,2.388399484E+02,2.864322831E+00,1.710478971E+00,4.297930463E-01,1.554567442E-01
a1244,2.406993649E+02,2.464278727E+00,1.417163016E+00,3.258131049E-01,9.338022575E-02
a1245,2.411479050E+02,2.192194433E+00,1.271352387E+00,2.985849998E-01,8.996320180E-02
a1246,2.415812729E+02,1.951257102E+00,1.127390529E+00,2.626592272E-01,7.742020043E-02
a1247,2.401998154E+02,2.752244668E+00,1.583542323E+00,3.629760498E-01,1.014215888E-01
a1248,2.421283887E+02,2.212917833E+00,1.276013523E+00,2.958062376E-01,8.687374598E-02
a1249,2.407064833E+02,2.940670675E+00,1.756988820E+00,4.402934754E-01,1.555636965E-01
a125,3.920935017E+00,4.514215173E-02,2.613911082E-02,6.066066170E-03,1.717654686E-03
a1250,2.411792439E+02,3.313224734E+00,1.925997049E+00,4.502953873E-01,1.312388808E-01
a1251,2.432400387E+02,2.139528235E+00,1.240022459E+00,2.913978250E-01,8.901275245E-02
a1252,2.430966240E+02,2.226773610E+00,1.288556710E+00,3.003288867E-01,8.771677689E-02
