Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0009|src=234-126|rup=002-01,5.7500000,120929211.1080000
smlt=00|ses=0004|src=234-14|rup=001-01,5.2500000,120446300.4260000
smlt=00|ses=0001|src=232-58|rup=001-01,5.2500000,119355714.0960000
smlt=00|ses=0003|src=234-93|rup=002-01,5.7500000,119129179.8900000
smlt=00|ses=0004|src=234-26|rup=004-01,6.7500000,119038039.0960000
smlt=00|ses=0004|src=234-28|rup=001-01,5.2500000,118484006.9260000
smlt=00|ses=0003|src=234-108|rup=001-01,5.2500000,118300908.5650000
smlt=00|ses=0007|src=235-399|rup=001-01,5.2500000,118214530.3030000
smlt=00|ses=0004|src=232-73|rup=001-01,5.2500000,118082133.6190000
smlt=00|ses=0008|src=232-72|rup=001-01,5.2500000,117994398.1550000
smlt=00|ses=0005|src=230-111|rup=001-01,5.2500000,117201778.0170000
smlt=00|ses=0009|src=229-156|rup=001-01,5.2500000,117147048.5460000
smlt=00|ses=0007|src=230-302|rup=001-01,5.2500000,117081798.1890000
smlt=00|ses=0004|src=234-89|rup=001-01,5.2500000,116172322.9960000
smlt=00|ses=0003|src=234-15|rup=001-01,5.2500000,115109910.9740000
smlt=00|ses=0007|src=234-31|rup=001-01,5.2500000,114951828.5900000
smlt=00|ses=0007|src=234-138|rup=002-01,5.7500000,113724144.7350000
smlt=00|ses=0007|src=234-112|rup=001-01,5.2500000,113235665.2860000
smlt=00|ses=0008|src=229-167|rup=001-01,5.2500000,113201750.0170000
smlt=00|ses=0002|src=230-326|rup=001-01,5.2500000,112910318.1720000
smlt=00|ses=0010|src=235-460|rup=002-01,5.7500000,111622364.0600000
smlt=00|ses=0001|src=234-66|rup=001-01,5.2500000,111527709.2350000
smlt=00|ses=0007|src=235-396|rup=005-01,7.2500000,111417964.8210000
smlt=00|ses=0006|src=232-26|rup=001-01,5.2500000,111243798.0570000
smlt=00|ses=0007|src=232-53|rup=002-01,5.7500000,111242357.6480000
smlt=00|ses=0004|src=235-501|rup=001-01,5.2500000,111080616.7330000
smlt=00|ses=0001|src=232-43|rup=001-01,5.2500000,111035950.2880000
smlt=00|ses=0008|src=232-62|rup=001-01,5.2500000,110178273.0970000
smlt=00|ses=0007|src=232-67|rup=001-01,5.2500000,110091814.8380000
smlt=00|ses=0005|src=235-427|rup=001-01,5.2500000,109556164.9060000
smlt=00|ses=0002|src=229-163|rup=001-01,5.2500000,109136095.2310000
smlt=00|ses=0001|src=234-129|rup=002-01,5.7500000,109015757.8190000
smlt=00|ses=0002|src=232-1|rup=002-01,5.7500000,108704570.8300000
smlt=00|ses=0004|src=230-344|rup=001-01,5.2500000,108646986.1410000
smlt=00|ses=0002|src=235-459|rup=002-01,5.7500000,108433078.5970000
smlt=00|ses=0004|src=232-90|rup=001-01,5.2500000,107230213.2900000
smlt=00|ses=0001|src=234-128|rup=001-01,5.2500000,107163009.3360000
smlt=00|ses=0009|src=230-333|rup=001-01,5.2500000,106298179.1110000
