Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0008|src=227-193|rup=001-01,5.2500000,147131065.1870000
smlt=00|ses=0007|src=234-127|rup=001-01,5.2500000,146838337.5840000
smlt=00|ses=0003|src=235-448|rup=004-01,6.7500000,145528727.7390000
smlt=00|ses=0001|src=386-53|rup=001-01,5.2500000,143385296.9940000
smlt=00|ses=0007|src=235-497|rup=001-01,5.2500000,141574919.9420000
smlt=00|ses=0007|src=235-308|rup=003-01,6.2500000,139829431.0060000
smlt=00|ses=0002|src=232-17|rup=001-01,5.2500000,139278691.2570000
smlt=00|ses=0002|src=230-344|rup=001-01,5.2500000,138579453.5860000
smlt=00|ses=0009|src=235-376|rup=002-01,5.7500000,138151791.1220000
smlt=00|ses=0005|src=235-155|rup=001-01,5.2500000,137447825.7830000
smlt=00|ses=0007|src=235-387|rup=004-01,6.7500000,136680257.4300000
smlt=00|ses=0005|src=235-80|rup=001-01,5.2500000,132384644.6420000
smlt=00|ses=0010|src=235-224|rup=001-01,5.2500000,132192052.9330000
smlt=00|ses=0001|src=235-228|rup=001-01,5.2500000,131823092.3810000
smlt=00|ses=0002|src=386-5|rup=001-01,5.2500000,131517374.9950000
smlt=00|ses=0010|src=235-359|rup=003-01,6.2500000,131253621.5950000
smlt=00|ses=0008|src=234-67|rup=001-01,5.2500000,129956674.6410000
smlt=00|ses=0007|src=227-200|rup=003-01,6.2500000,129693066.6950000
smlt=00|ses=0010|src=227-107|rup=001-01,5.2500000,129222573.9180000
smlt=00|ses=0005|src=235-364|rup=001-01,5.2500000,128008992.9350000
smlt=00|ses=0001|src=235-101|rup=001-01,5.2500000,127876593.7920000
smlt=00|ses=0008|src=235-348|rup=002-01,5.7500000,127775552.2360000
smlt=00|ses=0002|src=227-142|rup=001-01,5.2500000,127441305.6570000
smlt=00|ses=0009|src=235-284|rup=003-01,6.2500000,127398756.7750000
smlt=00|ses=0010|src=235-487|rup=003-01,6.2500000,126651560.8740000
smlt=00|ses=0006|src=235-497|rup=001-01,5.2500000,126140140.8310000
smlt=00|ses=0008|src=235-475|rup=001-01,5.2500000,126070359.4720000
smlt=00|ses=0004|src=227-146|rup=001-01,5.2500000,126061970.4290000
smlt=00|ses=0009|src=227-121|rup=001-01,5.2500000,125569228.0920000
smlt=00|ses=0006|src=235-486|rup=002-01,5.7500000,123928837.4530000
smlt=00|ses=0006|src=235-321|rup=001-01,5.2500000,123436093.5940000
smlt=00|ses=0009|src=227-158|rup=001-01,5.2500000,122476689.3920000
smlt=00|ses=0010|src=227-197|rup=004-01,6.7500000,121140469.5230000
smlt=00|ses=0006|src=227-114|rup=001-01,5.2500000,120549994.9980000
smlt=00|ses=0001|src=233-93|rup=002-01,5.7500000,120323435.0880000
smlt=00|ses=0003|src=238-166|rup=001-01,5.2500000,119346840.9970000
smlt=00|ses=0010|src=386-38|rup=001-01,5.2500000,118033265.7420000
smlt=00|ses=0002|src=235-475|rup=001-01,5.2500000,114527517.7840000
